source,metric,sub_metric,amount,currency,pages,notes
ar2020,income,other_grants,1459,EUR_000,,Extracted from annual report statement/note
ar2020,income,total,109146.0,EUR_000,,Corrected - derived as sum of income components
ar2020,staff,total_headcount,52,count,,Corrected from statement line extraction
ar2020,surplus,before_appropriations,10055,EUR_000,,Extracted from annual report statement/note
ar2020,surplus,for_year,8759,EUR_000,,Corrected from statement line extraction
ar2021,expenditure,expenditure_on_the_arts,6171,EUR_000,,Extracted from annual report statement/note
ar2021,expenditure,grants,114244,EUR_000,,Corrected from statement line extraction
ar2021,expenditure,other_admin_costs,2300,EUR_000,,Extracted from annual report statement/note
ar2021,expenditure,staff_remuneration,5937,EUR_000,,Extracted from annual report statement/note
ar2021,expenditure,total,128652.0,EUR_000,,Derived as sum of expenditure components
ar2021,income,net_deferred_funding_for_retirement_benefits,742,EUR_000,,Corrected from statement line extraction - previously used a different (OCI) line by mistake
ar2021,income,oireachtas_grant,129991,EUR_000,,Corrected from statement line extraction
ar2021,income,other_grants,1037,EUR_000,,Extracted from annual report statement/note
ar2021,income,total,131770.0,EUR_000,,Corrected - derived as sum of income components
ar2021,staff,total_headcount,63,count,,Corrected from statement line extraction
ar2021,surplus,before_appropriations,3118,EUR_000,,Extracted from annual report statement/note
ar2021,surplus,for_year,1382,EUR_000,,Corrected from statement line extraction
ar2022,expenditure,expenditure_on_the_arts,7671,EUR_000,,Extracted from annual report statement/note
ar2022,expenditure,grants,112951,EUR_000,,Corrected from statement line extraction
ar2022,expenditure,other_admin_costs,3708,EUR_000,,Extracted from annual report statement/note
ar2022,expenditure,staff_remuneration,6889,EUR_000,,Extracted from annual report statement/note
ar2022,expenditure,total,131219.0,EUR_000,,Derived as sum of expenditure components
ar2022,income,net_deferred_funding_for_retirement_benefits,1054,EUR_000,,Corrected from statement line extraction - previously used a different (OCI) line by mistake
ar2022,income,oireachtas_grant,130718,EUR_000,,Corrected from statement line extraction
ar2022,income,other_grants,1060,EUR_000,,Extracted from annual report statement/note
ar2022,income,total,132832.0,EUR_000,,Corrected - derived as sum of income components
ar2022,staff,total_headcount,71,count,,Corrected from statement line extraction
ar2022,surplus,before_appropriations,1613,EUR_000,,Extracted from annual report statement/note
ar2022,surplus,for_year,-30,EUR_000,,Extracted from annual report statement/note
ar2023,expenditure,expenditure_on_the_arts,7687,EUR_000,,Extracted from annual report statement/note
ar2023,expenditure,grants,121402,EUR_000,,Extracted from annual report statement/note
ar2023,expenditure,other_admin_costs,6931,EUR_000,,Extracted from annual report statement/note
ar2023,expenditure,staff_remuneration,7411,EUR_000,,Extracted from annual report statement/note
ar2023,expenditure,total,143431.0,EUR_000,,Derived as sum of expenditure components
ar2023,income,net_deferred_funding_for_retirement_benefits,995,EUR_000,,Extracted from annual report statement/note
ar2023,income,oireachtas_grant,131903,EUR_000,,Extracted from annual report statement/note
ar2023,income,other_grants,2788,EUR_000,,Extracted from annual report statement/note
ar2023,income,total,135686.0,EUR_000,,Corrected - derived as sum of income components (previously omitted net_deferred_funding_for_retirement_benefits)
ar2023,staff,total_headcount,114,count,,Employee disclosure in annual report
ar2023,surplus,before_appropriations,-7745,EUR_000,,Extracted from annual report statement/note
ar2023,surplus,for_year,-5893,EUR_000,,Extracted from annual report statement/note
ar2024,capital,transfer_to_from_capital_reserve,-225,EUR_000,,Extracted from annual report statement/note
ar2024,expenditure,expenditure_on_the_arts,7298,EUR_000,,Extracted from annual report statement/note
ar2024,expenditure,grants,115946,EUR_000,,Extracted from annual report statement/note
ar2024,expenditure,other_admin_costs,3601,EUR_000,,Extracted from annual report statement/note
ar2024,expenditure,staff_remuneration,8786,EUR_000,,Extracted from annual report statement/note
ar2024,expenditure,total,135631.0,EUR_000,,Derived as sum of expenditure components
ar2024,income,net_deferred_funding_for_retirement_benefits,1052,EUR_000,,Extracted from annual report statement/note
ar2024,income,oireachtas_grant,131120,EUR_000,,Extracted from annual report statement/note
ar2024,income,other_grants,1465,EUR_000,,Extracted from annual report statement/note
ar2024,income,other_income,5,EUR_000,,Corrected from statement line extraction
ar2024,income,total,133642.0,EUR_000,,Derived as sum of income components
ar2024,staff,total_headcount,122,count,,Corrected from statement line extraction
ar2024,surplus,before_appropriations,-1989,EUR_000,,Extracted from annual report statement/note
ar2024,surplus,for_year,-2214,EUR_000,,Extracted from annual report statement/note
